Domain,URL,Full URL,Best For,Description/Specialty
Apple Accessibility HIG,https://developer.apple.com/accessibility/ios/,https://developer.apple.com/accessibility/ios/,"native app guidance, mobile accessibility",Guidelines for building accessible iOS/macOS apps.
Autistic Self Advocacy Network (ASAN),https://autisticadvocacy.org/,https://autisticadvocacy.org/,"neurodiversity, disability rights",Self-advocate–led disability inclusion guidance.
Axe DevTools,https://www.deque.com/axe/,https://www.deque.com/axe/,testing automation,Leading testing engine for accessibility.
axesslab.com,https://axesslab.com/,https://axesslab.com/,"Inclusive design consultancy, accessibility testing focused on UX, user experience testing, European legal compliance.",Inclusive design and accessibility consultancy (Duplicate entry).
barrierbreak.com,https://barrierbreak.com/,https://barrierbreak.com/,"Global accessibility consulting, India-based testing services, international standards compliance, digital accessibility audits.",India-based global accessibility consulting and testing firm.
BBC Accessibility,bbc.co.uk/accessibility,https://bbc.co.uk/accessibility,"mobile accessibility, user experience, coding examples, content design, United Kingdom",The British Broadcasting Corporation's guidelines and commitment to accessible digital content.
BBC Accessibility Guidelines,https://www.bbc.co.uk/accessibility/forproducts/guides/,https://www.bbc.co.uk/accessibility/forproducts/guides/,design patterns,BBC accessibility patterns for media and products.
blog.pope.tech,https://blog.pope.tech/,https://blog.pope.tech/,"Web accessibility scanning tools, automated reporting features, accessibility monitoring best practices, WCAG tips.","Blog for Pope Tech, a web accessibility scanning and monitoring tool."
boia.org,https://www.boia.org/,https://www.boia.org/,"testing, audits","The Bureau of Internet Accessibility, offering website accessibility audits and remediation services."
Bryan Garaventa (WhatSock),whatsock.com,https://whatsock.com,"code examples, development","Site by accessibility developer Bryan Garaventa, focusing on ARIA, scripting, and accessible widgets."
CNIB (Canadian National Institute for the Blind),cnib.ca,https://cnib.ca,"Canada, AODA, ACA, blindness, low-vision, disabilities, legal
","National charity providing support, services, and advocacy for Canadians with vision loss."
colorandcontrast.com,https://colorandcontrast.com/,https://colorandcontrast.com/,"WCAG color contrast validation, accessibility compliance tools, visual design best practices, accessible color palette creation.",Tool and resources focused on meeting WCAG color contrast requirements.
commission.europa.eu,https://commission.europa.eu/,https://commission.europa.eu/,"European digital inclusion policy, official EU legislation, European Commission's stance on digital accessibility.","European Commission's official site, including policy and legislation on digital inclusion."
contentdesign.intuit.com,https://contentdesign.intuit.com/,https://contentdesign.intuit.com/,"Intuit's design system principles, accessible content strategy, content guidelines for UX writing, inclusive design practices.",Intuit's (creators of QuickBooks) design system principles for accessible content.
DAISY Consortium,https://www.daisy.org/,https://www.daisy.org/,accessible publishing,Standards for accessible digital publishing.
dcmp.org,https://dcmp.org/,https://dcmp.org/,"Accessible educational videos, described and captioned media (DCMP), resources for students with disabilities, media accessibility standards.","Described and Captioned Media Program, providing accessible educational videos for students with disabilities."
Deque Systems,deque.com,https://deque.com,"Accessibility software, testing (automated & manual), training, audits, compliance (ADA, VPAT, WCAG, etc.)","Enterprise accessibility software and consulting, creators of the axe-core automated testing engine."
Deque University,https://dequeuniversity.com/,https://dequeuniversity.com/,"training, testing methods, remediation","Training for accessibility testing, development, ARIA use, and WCAG compliance."
design-system.service.gov.uk,https://design-system.service.gov.uk/,https://design-system.service.gov.uk/,"code examples, development, design, inclusive design, policy, best practices","The official GOV.UK Design System, with accessible components and front-end code."
designsystem.digital.gov,https://designsystem.digital.gov/,https://designsystem.digital.gov/,"design, inclusive design, policy, best practices","The U.S. Web Design System (USWDS), providing accessible government components and guidelines."
developer.android.com,https://developer.android.com/,https://developer.android.com/,"code examples, development","General developer documentation for Android, including guides on platform accessibility."
developer.apple.com,https://developer.apple.com/,https://developer.apple.com/,"code examples, development","Apple developer resources, with extensive guides on building accessible iOS and macOS apps."
developer.microsoft.com,https://developer.microsoft.com/,https://developer.microsoft.com/,"code examples, development","Microsoft developer documentation, including accessibility guides for Windows and web platforms."
developer.mozilla.org,https://developer.mozilla.org/,https://developer.mozilla.org/,"standards, wcag","MDN Web Docs, the definitive resource for web standards, including detailed accessibility documentation."
digital-strategy.ec.europa.eu,https://digital-strategy.ec.europa.eu/,https://digital-strategy.ec.europa.eu/,general accessibility,European Commission's strategy on digital transformation and inclusive technology policies.
Disability news in france,https://informations.handicap.fr,https://informations.handicap.fr,"disability news (France), French accessibility resources, disability rights, inclusion information, European accessibility updates","Handicap.fr is a French information hub offering news, rights guidance, and resources for people with disabilities and accessibility professionals."
Disability Statistics,https://www.disabilitystatistics.org,https://www.disabilitystatistics.org,"U.S. disability data, research tools, demographic insights, disability prevalence, statistical reporting","A resource offering curated U.S. disability statistics and tools for researchers, policymakers, and advocates."
DisabilityIN,https://disabilityin.org/,https://disabilityin.org/,corporate inclusion,Resources for disability inclusion in the workplace.
ebay.gitbook.io,https://ebay.gitbook.io/,https://ebay.gitbook.io/,"design, inclusive design",eBay's internal or public accessibility guidelines and design system documentation.
ec.europa.eu,https://ec.europa.eu/,https://ec.europa.eu/,"policy, best practices","The European Commission's main website, containing official documents and information."
edf-feph.org,https://www.edf-feph.org/,https://www.edf-feph.org/,general accessibility,"European Disability Forum, an NGO advocating for the rights of people with disabilities."
Ethical Design guide,https://ethicaldesign.guide,https://ethicaldesign.guide,"ethical design, UX best practices, responsible tech, privacy-first design, accessibility principles, human-centered design","A curated guide to ethical design principles, emphasizing responsible technology, accessibility, privacy, and human‚Äëcentered practices."
Ethics for Designers,https://www.ethicsfordesigners.com,https://www.ethicsfordesigners.com,"design ethics, UX decision-making, responsible innovation, ethical frameworks, design guidelines, product ethics","A resource providing ethical frameworks, checklists, and case studies to help designers integrate ethics into digital product decisions."
etsi.org,https://www.etsi.org/,https://www.etsi.org/,"standards, wcag, european accessibility act, en301549","European Telecommunications Standards Institute, which develops ICT accessibility standards like EN 301 549."
eur-lex.europa.eu,https://eur-lex.europa.eu/,https://eur-lex.europa.eu/,general accessibility,"Database of European Union law, including directives on digital accessibility."
evinced.com,https://evinced.com/,https://evinced.com/,"testing, audits",AI-powered solution for automated accessibility testing and issue remediation.
filamentgroup.com,https://www.filamentgroup.com/,https://www.filamentgroup.com/,general accessibility,Consultancy specializing in performance and inclusive web development (Duplicate entry).
Freedom Scientific,https://www.freedomscientific.com/,https://www.freedomscientific.com/,"JAWS, assistive technology, blind, low-visioni, reading, dyslexia, screen reader",Screen reader for Microsoft.
G3ict,https://g3ict.org/,https://g3ict.org/,"policy, global inclusion",Global initiative for inclusive ICT standards.
getevinced.github.io,https://getevinced.github.io/,https://getevinced.github.io/,"testing, audits",Documentation and resources for the Evinced automated accessibility testing platform.
getstark.co,https://www.getstark.co/,https://www.getstark.co/,"design, inclusive design","Designer tool for checking color contrast, typography, and focus order for accessibility."
github.com,https://github.com/,https://github.com/,general accessibility,"Repository hosting service, where many open-source accessibility projects are hosted."
Google Accessibility,google.com/accessibility,https://google.com/accessibility,"tools/software, mobile, android, talk back, user preferences","Overview of accessibility features and tools across Google products, including Android, Chrome, and search."
Gov.uk Accessibility,accessibility.blog.gov.uk,https://accessibility.blog.gov.uk,"accessibility best practices, management, standards",Official blog from the UK government on public sector digital accessibility compliance and standards.
GOV.UK Service Manual Accessibility,https://www.gov.uk/service-manual/helping-people-to-use-your-service/accessibility,https://www.gov.uk/service-manual/helping-people-to-use-your-service/accessibility,government patterns,Accessibility guidelines for UK public services.
handicap.fr,https://www.handicap.fr/,https://www.handicap.fr/,general accessibility,French-language news and resource site for people with disabilities and accessibility topics.
Heydon Pickering,heydonworks.com,https://heydonworks.com,"design/ux, inclusive design, interaction design, keyboard accessibility, wcag, aria",Personal site of a writer and accessibility expert focusing on inclusive design patterns and components.
HTML5 Doctor,html5doctor.com,https://html5doctor.com,"design/ux, development/code, pdf/documents, resources/blog",Reference and guide site dedicated to proper usage and semantics of HTML5 elements for better accessibility.
html5accessibility.com,https://html5accessibility.com/,https://html5accessibility.com/,general accessibility,A reference site detailing the accessibility support status of various HTML5 features and elements.
IBM Accessibility,https://www.ibm.com/able,https://www.ibm.com/able,"research, enterprise accessibility",Enterprise accessibility research and best practices.
iheni.com,https://www.iheni.com/,https://www.iheni.com/,general accessibility,"Personal site of accessibility specialist Henny Swan, focusing on inclusive user experience."
inclusionhub.com,https://inclusionhub.com/,https://inclusionhub.com/,"design, inclusive design","A directory and resource center for accessibility and inclusive design tools, agencies, and vendors."
Inclusive Components,inclusive-components.design,https://inclusive-components.design,"code examples, development",A collection of articles and code examples demonstrating how to build inclusive web components (Duplicate entry).
Inclusive Design Guide,https://guide.inclusivedesign.ca/,https://guide.inclusivedesign.ca/,"inclusive design decisions, design frameworks",Practical guide for implementing inclusive design throughout a design process.
Inclusive Design Research Centre (IDRC),https://idrc.ocadu.ca/,https://idrc.ocadu.ca/,"inclusive design theory, frameworks",Research-based inclusive design principles and systems-level methodologies.
inclusivedesign24.org,https://www.inclusivedesign24.org/,https://www.inclusivedesign24.org/,"design, inclusive design",Annual free 24-hour virtual conference dedicated to inclusive design (Duplicate entry).
Joe Dolson,joedolson.com,https://joedolson.com,"wordpress, accessibility, cms",Personal site of a WordPress core committer and accessibility consultant.
juicystudio.com,https://juicystudio.com/,https://juicystudio.com/,"general accessibility, standards, wcag, aria","Site by accessibility expert Gez Lemon, offering resources, articles, and tools."
karlgroves.com,https://karlgroves.com/,https://karlgroves.com/,"general accessibility, standards, wcag, aria","Personal site of accessibility consultant Karl Groves, featuring articles and services."
Knowbility,knowbility.org,https://knowbility.org,"Education & Events, web standards, compliance",Non-profit promoting digital accessibility through education and consulting (Duplicate entry).
Last child - Ted's site,https://last-child.com,https://last-child.com,"general accessibility, trauma informed design, diversity, user experience, wcag, aria, web accessibility, leadership","Personal site of Ted Drake, focusing on accessibility development and testing."
Law Office of Lainey Feingold,lflegal.com,https://lflegal.com,"general accessibility, legal, ada, aoda, european accessibility act, structured negotiations","Legal resources, cases, and settlement agreements related to digital accessibility law."
Léonie Watson (Tink),tink.uk,https://tink.uk,general accessibility,Personal site of a director at TPGi and a well-known accessibility advocate and expert.
Level Access,levelaccess.com,https://levelaccess.com,Enterprise Compliance,"Accessibility auditing, consulting, and software for compliance and testing."
LinkedIn Accessibility,linkedin.com/accessibility,https://linkedin.com/accessibility,general accessibility,Accessibility features and commitments for the LinkedIn professional networking platform.
m3.material.io,https://m3.material.io/,https://m3.material.io/,"design, inclusive design","Google's Material Design 3 guidelines, including comprehensive accessibility specifications."
Marco Zehe,marcozehe.de,https://marcozehe.de,"news, thought leadership, blind, firefox","Personal blog of an accessibility advocate, often focusing on screen readers and Mozilla/Firefox."
Marcy Sutton,marcysutton.com,https://marcysutton.com,general accessibility,"Personal site of an accessibility engineer, speaker, and trainer focused on modern web applications."
Material Design Accessibility,https://m3.material.io/foundations/accessibility/overview,https://m3.material.io/foundations/accessibility/overview,"design patterns, contrast, interaction guidance",Accessibility best practices in Material Design.
MDN Accessibility,https://developer.mozilla.org/en-US/docs/Web/Accessibility,https://developer.mozilla.org/en-US/docs/Web/Accessibility,"developer patterns, semantic HTML",Developer-focused documentation with code examples and accessibility best practices.
MDN Web Docs (Mozilla),developer.mozilla.org,https://developer.mozilla.org,"Comprehensive resource for web developers, including guides on HTML, CSS, JavaScript, and accessibility APIs","Comprehensive resource for web developers, including guides on HTML, CSS, JavaScript, and accessibility APIs."
Microsoft Accessibility,microsoft.com/en-us/accessibility,https://microsoft.com/en-us/accessibility,"Microsoft product accessibility features (Windows, Office, Edge), developer tools (Accessibility Insights), inclusive design principles.","Microsoft's accessibility commitment, products, and developer resources."
Microsoft Inclusive Design,https://inclusive.microsoft.design/,https://inclusive.microsoft.design/,inclusive design principles,Microsoft's inclusive design toolkit.
national association of the deaf,https://nad.org,https://nad.org,"Deaf community resources, ASL advocacy, captioning standards, communication accessibility, disability rights (U.S.)","The National Association of the Deaf advocates for civil rights, education, accessibility, and communication access for Deaf and Hard-of-Hearing individuals."
National Federation of the Blind,https://nfb.org/,https://nfb.org/,blindness advocacy,Guidance and resources from NFB community.
NCAM (National Center for Accessible Media),ncam.wgbh.org,https://ncam.wgbh.org,general accessibility,"Center focused on research, development, and policy to make media accessible for people with disabilities."
NHK (Japan) Accessibility,nhk.or.jp,https://nhk.or.jp,general accessibility,"Japan's public broadcaster, providing information on their efforts for media and website accessibility."
Nicolas Hoffmann,van11y.net,https://van11y.net,"general accessibility, components","Resource site by Nicolas Hoffmann, providing accessible components and coding examples (van11y = Vanilla A11y)."
Nielsen Norman Group (NN/g) Accessibility,https://www.nngroup.com/topic/accessibility/,https://www.nngroup.com/topic/accessibility/,"UX research, usability",Evidence-based UX research on accessibility.
NVDA,https://community.nvda-project.org,https://community.nvda-project.org,"screen reader support, NVDA troubleshooting, open-source accessibility tools, assistive technology, blindness accessibility","The community hub for NVDA users and developers, offering documentation, support forums, and accessibility resources."
OZeWAI,https://www.ozewai.org/,https://www.ozewai.org/,APAC accessibility community,Australia’s Web Accessibility Initiative community.
Paul J. Adam,pauljadam.com,https://pauljadam.com,"general accessibility, mobile, ios, android, auditing",Personal site of a principal accessibility engineer and conference speaker.
PDF Association,pdfa.org,https://pdfa.org,"standards, wcag, pdf","Organization promoting and developing the use of PDF standards, including accessibility (PDF/UA)."
RNIB (Royal National Institute of Blind People),rnib.org.uk,https://rnib.org.uk,"general accessibility, blind, low-vision, disability, uk",UK-based charity offering support and resources for people with sight loss.
Section508.gov,section508.gov,https://section508.gov,US Government Compliance,Official U.S. government resource for Section 508 standards and compliance for federal IT.
Shopify UX,ux.shopify.com,https://ux.shopify.com,"design, inclusive design","Shopify's user experience (UX) documentation, including guides on accessible design within their platform."
Simply Accessible,simplyaccessible.com,https://simplyaccessible.com,general accessibility,"Accessibility consulting and training firm focused on practical, user-centered solutions."
Siteimprove Accessibility,https://siteimprove.com/,https://siteimprove.com/,"website monitoring, analytics",Accessibility monitoring and reporting tools.
Smashing Magazine,smashingmagazine.com,https://smashingmagazine.com,Front-End & UX Design,"Leading online magazine for professional web designers and developers, with frequent accessibility coverage."
Teach Access,https://teachaccess.org/,https://teachaccess.org/,"education, curriculum development",Resources that help educators teach accessibility concepts.
The A11Y Project,https://www.a11yproject.com/,https://www.a11yproject.com/,"best practices, checklists, onboarding","Community-driven accessibility resource with guides, checklists, and articles."
tpgi.com,https://www.tpgi.com/,https://www.tpgi.com/,"Technical Auditing, jaws, compliance, web standards","The Paciello Group (TPGi), a leading accessibility consulting and software company (Duplicate entry)."
U.S. Department of Labor - Office of Disability Employment Policy,https://www.dol.gov,https://www.dol.gov,"employment law, disability employment policy, workforce accessibility, labor regulations, workplace rights guidance","The U.S. Department of Labor site providing employment regulations, workplace rights information, and disability employment policy resources."
UK Gov Accessibility Blog,https://accessibility.blog.gov.uk/,https://accessibility.blog.gov.uk/,"policy, implementation","Government service patterns, testing insights, and accessibility processes."
US Access Board,https://www.access-board.gov/,https://www.access-board.gov/,"508 compliance, physical + digital standards",Government accessibility standards body.
Vision Australia,visionaustralia.org,https://visionaustralia.org,general accessibility,"Australian blindness and low vision service provider, offering advocacy and accessible technology services."
Vox Product Accessibility Guidelines,https://accessibility.voxmedia.com,https://accessibility.voxmedia.com,"digital accessibility standards, accessible publishing, accessible design systems, industry accessibility practices, inclusive engineering","Vox Media's accessibility portal documenting inclusive design standards, engineering patterns, and digital accessibility processes."
W3C Silver Project (WCAG 3),https://www.w3.org/WAI/GL/task-forces/silver/,https://www.w3.org/WAI/GL/task-forces/silver/,next‑gen standards,Future WCAG 3 accessibility guidelines development.
W3C Web Accessibility Initiative (WAI),w3.org/WAI/,https://w3.org/WAI/,Web Standards & Guidelines,The official World Wide Web Consortium group that develops WCAG and other accessibility guidelines.
WAI-ARIA Authoring Practices,https://www.w3.org/WAI/ARIA/apg/,https://www.w3.org/WAI/ARIA/apg/,ARIA patterns and roles,"Authoring patterns, roles, states, properties, and component guidance."
WAI-Tools Project,https://www.w3.org/WAI/Tools/,https://www.w3.org/WAI/Tools/,testing tools,EU-backed accessibility testing innovation.
WCAG Guidelines,https://www.w3.org/WAI/standards-guidelines/wcag/,https://www.w3.org/WAI/standards-guidelines/wcag/,"WCAG lookups, criteria explanations",Official Web Content Accessibility Guidelines.
Web Axe,webaxe.org,https://webaxe.org,"news, thought leadership","Podcast and blog covering digital accessibility topics, news, and tools."
WebAIM,webaim.org,https://webaim.org,Training & Evaluation,"Non-profit offering accessibility tools, training, and the annual screen reader survey."
